company_id,name,vertical,geography,stage,headcount_estimate,recent_growth_signals,hiring_signals,checklist_pass,must_haves_notes,priority,notes
23,Payabli,Fintech,US-Miami,Series B,80-150,USD28M Series B Jun 2025; USD60M total,Hiring GTM eng product,YES,Embedded payfac for vertical SaaS,1,
24,Basis Theory,Fintech,US,Series B,35-55,USD33M Series B Oct 2025; agentic commerce,Expand GTM,YES,Vault + agentic commerce wedge,1,
25,OneNext,Fintech,US,Seed,25-55,USD5.5M seed Jan 2025; Citi Ventures,GTM cities + compliance,YES,Unified B2B payments story,1,
26,autone,Fintech,EU-UK,Series A,40-80,EUR15.4M Series A (Sifted); inventory/cash,Scale UK/EU,YES,Working capital + retail vertical,2,
27,Pennylane,Fintech,EU-France,Series C,400+,SMB accounting platform scale,Mid-market GTM,YES,Segment-specific campaigns FR/EU,3,Large
28,Agicap,Fintech,EU-France,Series C,300+,Cash flow management scale,EU expansion,YES,Vertical ICP for forecasting,3,
29,Pleo,Fintech,EU-Denmark,Series C,500+,Spend management scale,Enterprise + SMB,YES,Upmarket motion experiments,3,
30,Spendesk,Fintech,EU-France,Series C,500+,Spend management,EU GTM,YES,Multi-entity finance teams,3,
31,Upvest,Fintech,EU-Germany,Series B,100+,Investment API infra,Partnerships,YES,Embedded investing distribution,3,
32,Swan,Fintech,EU-France,Series B,100+,Banking-as-a-service,Partner GTM,YES,Embedded finance ICP clarity,3,
33,Moss,Fintech,EU-Germany,Series B,150+,Spend management DACH,GTM scale,YES,SMB vs mid-market focus tests,3,
34,Primer,Fintech,EU-UK,Series B,80-140,Payments orchestration,Global merchants,YES,Orchestration vs Stripe narrative,3,
35,Billie,Fintech,EU-Germany,Series C,200+,B2B BNPL,Merchant acquisition,YES,BNPL vs net terms messaging,3,
36,PayFit,Fintech,EU-France,Series D,700+,Payroll + HR,Scale,YES,Payroll + embedded finance bundle,4,Very large
37,Column,Fintech,US,Series C,100+,Banking API,Developer GTM,YES,Regulated infra narrative,3,
38,Modern Treasury,Fintech,US,Series C,150+,Payment operations,Enterprise GTM,YES,Complex money movement ICP,3,
39,Tesseract,Fintech,EU-UK,Growth,40-100,Trading/infra (verify before outreach),Institutional GTM,YES,Institutional wedge,4,Verify
40,Arc,Fintech,US,Series A/B,40-90,Startup banking stack,GTM scale,YES,Startup vs SMB ICP angle,4,
41,akirolabs,AI,EU-Germany,Series A,30-80,AI-powered procurement strategy platform; BDR intern role open,BDR/Sales GTM,YES,Procurement strategy AI — needs sharp ICP and ROI narrative to convert CPO/CFO buyers who conflate it with spend management tools,1,Warm: Michael responded 2026-04-15; BDR intern candidate
42,Dust,AI,EU-France,Seed,10-25,Raised $5M seed in 2023; growing rapidly in 2024 with enterprise pilots,GTM; enterprise account managers,YES,Building AI assistants on top of company knowledge — needs clear enterprise ICP segmentation and repeatable land-and-expand motion beyond founder-led sales,1,domain:dust.tt
43,Nabla,AI,EU-France,Series A,40-80,Raised $24M Series A in 2023; expanding into US healthcare with strong press in medical AI,US sales; clinical success managers,YES,AI copilot for physicians navigating dual-market GTM (EU + US) — needs localized buyer education and compliance-led content for US health systems,2,domain:nabla.com
44,Holistic AI,AI,EU-UK,Series A,30-60,Raised $8.5M Series A in 2023; EU AI Act tailwinds in 2024; featured in FT and VentureBeat,Enterprise sales; compliance consultants; policy leads,YES,AI governance and risk auditing — needs concrete ROI and risk-reduction narrative to convert legal/compliance buyers skeptical of vendor-led audits,1,domain:holisticai.com
45,Unstructured,AI,US,Series A,30-60,Raised $40M Series A in late 2023; strong OSS adoption with enterprise upsell motion accelerating,Enterprise AEs; solutions architects; developer advocates,YES,ETL/data preprocessing layer for LLM pipelines — OSS-to-enterprise conversion funnel underbuilt; needs clear ICP segmentation between self-serve devs and enterprise data teams,1,domain:unstructured.io
46,Arize AI,AI,US-SF,Series B,50-80,Raised $38M Series B in 2023; LLM observability platform seeing strong demand surge,Enterprise AEs; ML engineers; customer success,YES,ML observability and LLM tracing — needs sharper enterprise GTM separating data science buyer from platform/infra buyer with different ROI stories for each,2,domain:arize.com
47,Sardine,Fintech,US-SF,Series B,50-80,Raised $51.5M Series B in 2023; fraud and compliance platform growing fast with crypto and neobank customers,Enterprise sales; compliance specialists; partnerships,YES,Fraud prevention and KYC/AML compliance for fintechs — needs clearer wedge narrative between fraud and compliance products to avoid conflating buyer personas,2,domain:sardine.ai
48,Numeral,Fintech,EU-France,Seed,15-35,Raised EUR7M seed in 2023; bank payment infrastructure API growing; covered in French and EU fintech press,Sales; partnerships; banking integrations,YES,Payment orchestration API for fintechs on European bank rails — needs compelling developer-first GTM and comparison narrative vs. legacy SEPA infrastructure providers,1,domain:numeral.io
49,Defacto,Fintech,EU-France,Series A,30-60,Raised EUR15M Series A in 2023; embedded B2B BNPL and working capital for marketplaces and SaaS platforms,Partnerships; business development; sales,YES,Embedded working capital API for B2B marketplaces — needs partner-led GTM playbook targeting vertical SaaS platforms where cash flow is known pain for SME users,1,domain:defacto.fr
50,Karmen,Fintech,EU-France,Series A,20-45,Raised EUR55M total including Series A in 2023; revenue-based financing for SaaS and e-commerce growing strongly in France,Sales; partnerships; credit risk,YES,Revenue-based financing for European SaaS — needs clear differentiation vs. bank debt and VC dilution and scalable outbound targeting SaaS founders at $500K-$5M ARR stage,1,domain:karmen.co
